,0
0,Arkansas
1,Maine
2,North Dakota
3,Virginia
4,Hawaii
5,New Mexico
6,Florida
7,Maryland
8,Mississippi
9,Oklahoma
10,Missouri
11,South Dakota
12,Massachusetts
13,Nevada
14,Iowa
15,Kansas
16,Connecticut
17,Rhode Island
18,Vermont
19,Alabama
20,Illinois
21,Nebraska
22,Wisconsin
23,Oregon
24,Minnesota
25,Idaho
26,Kentucky
27,Arizona
28,Michigan
29,Tennessee
30,West Virginia
31,New Jersey
32,Wyoming
33,Montana
34,Georgia
35,Delaware
36,Colorado
37,Pennsylvania
38,Indiana
39,Louisiana
40,Alaska
41,New Hampshire
